,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
7901,R. Crivello,26,Italy,67,67,Spezia,650000.0,2000.0,5'11,168.0,Europe
7902,T. Ayasse,31,France,67,67,Stade Brestois 29,525000.0,3000.0,6'0,165.0,Europe
7903,D. Zúñiga,21,Chile,67,78,CD Everton de Viña del Mar,1100000.0,1000.0,5'7,161.0,South America
7904,L. Załuska,36,Poland,67,67,Pogoń Szczecin,100000.0,1000.0,6'3,194.0,Europe
7905,R. Vasilev,27,Bulgaria,67,67,,0.0,0.0,6'1,163.0,Europe
7906,M. Schmerböck,24,Austria,67,73,Wolfsberger AC,1100000.0,5000.0,5'11,161.0,Europe
7907,Y. Abe,36,Japan,67,67,Urawa Red Diamonds,100000.0,3000.0,5'10,170.0,Asia
7908,J. Ruiz,20,France,67,79,FC Sochaux-Montbéliard,1200000.0,2000.0,6'2,176.0,Europe
7909,M. Bravo,31,Argentina,67,67,San Martín de San Juan,675000.0,6000.0,5'6,159.0,South America
7910,Augusto,30,Portugal,67,67,Śląsk Wrocław,575000.0,3000.0,5'11,176.0,Europe
7911,A. Maxsø,24,Denmark,67,73,FC Zürich,900000.0,4000.0,6'4,196.0,Europe
7912,D. Vergara,21,Colombia,67,78,Envigado FC,1300000.0,1000.0,5'8,159.0,South America
7913,Park Dong Jin,23,"Korea, Republic of",67,73,FC Seoul,900000.0,2000.0,6'0,159.0,Asia
7914,A. Maksimenko,20,Russia,67,80,Spartak Moscow,1200000.0,1000.0,6'2,179.0,Europe
7915,M. Vrushaj,19,Albania,67,80,Olympiacos CFP,1400000.0,1000.0,5'10,168.0,Europe
7916,L. Garbutt,25,United Kingdom,67,71,Oxford United,825000.0,4000.0,5'10,161.0,Europe
7917,G. Munari,35,Italy,67,67,Parma,325000.0,10000.0,6'3,185.0,Europe
7918,C. Burke,26,Jamaica,67,68,Philadelphia Union,900000.0,3000.0,6'3,181.0,North America
7919,Rudy,29,Angola,67,67,Waterford FC,750000.0,1000.0,6'2,161.0,Africa
7920,S. Knežević,21,Switzerland,67,79,FC Luzern,1200000.0,4000.0,6'2,179.0,Europe
7921,M. Heider,32,Germany,67,67,VfL Osnabrück,600000.0,2000.0,6'2,172.0,Europe
7922,L. Gutiérrez,33,Bolivia,67,67,,0.0,0.0,5'11,190.0,South America
7923,J. Alnwick,25,United Kingdom,67,72,Scunthorpe United,725000.0,11000.0,6'2,181.0,Europe
7924,S. O'Donnell,26,United Kingdom,67,70,Kilmarnock,775000.0,3000.0,6'0,196.0,Europe
7925,S. Edera,21,Italy,67,77,Torino,1200000.0,11000.0,5'9,148.0,Europe
7926,A. Arellano,23,Mexico,67,73,Querétaro,900000.0,3000.0,5'9,141.0,North America
7927,G. Hupperts,26,Netherlands,67,68,Sporting Lokeren,900000.0,5000.0,5'9,172.0,Europe
7928,L. Isgrove,25,United Kingdom,67,70,Barnsley,950000.0,4000.0,5'10,159.0,Europe
7929,M. Lampson,28,United States,67,69,Minnesota United FC,650000.0,2000.0,6'3,201.0,North America
7930,R. Di Gennaro,24,Italy,67,70,Inter,675000.0,11000.0,6'2,176.0,Europe
7931,Melvin Regalito,26,Brazil,67,67,Atlético Paranaense,825000.0,5000.0,6'0,168.0,South America
7932,L. Akins,29,United Kingdom,67,67,Burton Albion,750000.0,5000.0,5'10,174.0,Europe
7933,J. Valencia,26,Colombia,67,69,CD Feirense,925000.0,5000.0,6'2,179.0,South America
7934,L. Ayçiçek,24,Germany,67,72,SpVgg Greuther Fürth,1000000.0,3000.0,5'7,148.0,Europe
7935,E. Albín,29,Uruguay,67,67,San Martin de Tucumán,575000.0,4000.0,5'9,154.0,South America
7936,M. Troiano,33,Italy,67,67,Ascoli,450000.0,2000.0,6'2,181.0,Europe
7937,F. Escobar,23,Panama,67,73,New York Red Bulls,900000.0,2000.0,5'11,190.0,North America
7938,N. Linares,22,Argentina,67,77,Club Atlético Banfield,1100000.0,4000.0,5'9,159.0,South America
7939,J. Ávila,26,Colombia,67,69,Junior FC,775000.0,2000.0,6'2,194.0,South America
7940,Nuno Valente,26,Portugal,67,68,Vitória de Setúbal,875000.0,3000.0,5'9,150.0,Europe
7941,R. Baku,20,Germany,67,82,1. FSV Mainz 05,1700000.0,7000.0,5'9,159.0,Europe
7942,Samu,22,Portugal,67,73,Boavista FC,1000000.0,3000.0,5'7,146.0,Europe
7943,D. Vicencio,25,Chile,67,71,San Luis de Quillota,825000.0,2000.0,5'10,176.0,South America
7944,C. Shields,27,Ireland,67,69,Dundalk,750000.0,1000.0,6'1,172.0,Europe
7945,Choi Sung Keun,26,"Korea, Republic of",67,68,Suwon Samsung Bluewings,875000.0,3000.0,5'11,148.0,Asia
7946,O. Sow,28,Sweden,67,67,Milton Keynes Dons,800000.0,7000.0,6'4,176.0,Europe
7947,L. Orejuela,22,Colombia,67,73,Ajax,875000.0,5000.0,5'11,157.0,South America
7948,S. Leuko,24,Cameroon,67,72,CD Lugo,850000.0,3000.0,5'9,154.0,Africa
7949,D. Goutas,24,Greece,67,72,Lech Poznań,875000.0,3000.0,6'2,179.0,Europe
7950,Wilsson Rosito,34,Brazil,67,67,Paraná,375000.0,7000.0,5'11,161.0,South America
7951,D. Rigo,19,Belgium,67,80,PSV,1400000.0,3000.0,5'11,165.0,Europe
7952,A. Bastoni,19,Italy,67,87,Parma,1500000.0,7000.0,6'3,165.0,Europe
7953,S. Eastwood,29,United Kingdom,67,69,Oxford United,625000.0,4000.0,6'2,198.0,Europe
7954,T. Boyd,27,United States,67,67,SV Darmstadt 98,825000.0,8000.0,6'2,181.0,North America
7955,F. Nájera,34,Colombia,67,67,La Equidad,230000.0,1000.0,6'1,172.0,South America
7956,Jairo,24,Spain,67,70,Cádiz CF,975000.0,8000.0,5'5,148.0,Europe
7957,D. Milinković,24,France,67,73,Hull City,1000000.0,8000.0,5'10,154.0,Europe
7958,F. Ayé,21,France,67,74,Clermont Foot 63,1100000.0,2000.0,6'0,165.0,Europe
7959,J. Vachoux,23,France,67,75,Racing Club de Lens,850000.0,2000.0,6'0,172.0,Europe
7960,N. Bajrami,19,Switzerland,67,82,Grasshopper Club Zürich,1600000.0,3000.0,5'10,150.0,Europe
7961,P. Mandanda,28,"Congo, The Democratic Republic of the",67,68,Sporting de Charleroi,625000.0,4000.0,6'0,185.0,Africa
7962,M. Đurić,28,Bosnia and Herzegovina,67,67,US Salernitana 1919,800000.0,2000.0,6'6,207.0,Europe
7963,Éverton Luiz,30,Brazil,67,67,SPAL,575000.0,5000.0,5'8,154.0,South America
7964,Puertas,26,Spain,67,68,Granada CF,900000.0,4000.0,6'0,170.0,Europe
7965,J. Duverne,20,France,67,77,Racing Club de Lens,1100000.0,3000.0,6'0,157.0,Europe
7966,G. Dicker,31,Ireland,67,67,Kilmarnock,525000.0,3000.0,6'0,179.0,Europe
7967,G. Massey,25,United Kingdom,67,68,Wigan Athletic,900000.0,16000.0,5'11,165.0,Europe
7968,N. Stefanelli,24,Argentina,67,74,AIK,1100000.0,3000.0,5'5,157.0,South America
7969,J. Andrada,23,Argentina,67,75,Godoy Cruz,975000.0,4000.0,6'0,170.0,South America
7970,R. Zhemaletdinov,21,Russia,67,77,Lokomotiv Moscow,1300000.0,1000.0,6'0,176.0,Europe
7971,L. Sercombe,28,United Kingdom,67,67,Bristol Rovers,750000.0,4000.0,5'10,152.0,Europe
7972,D. De Belder,26,Belgium,67,69,KSV Cercle Brugge,925000.0,6000.0,6'0,159.0,Europe
7973,J. Kubicki,22,Poland,67,73,Lechia Gdańsk,1000000.0,3000.0,5'10,152.0,Europe
7974,J. Rasmussen,21,Denmark,67,78,Empoli,1200000.0,3000.0,6'3,179.0,Europe
7975,Y. Ramadani,22,Albania,67,74,Vejle Boldklub,925000.0,3000.0,6'1,165.0,Europe
7976,E. Akichi,28,Ivory Coast,67,68,Paris FC,700000.0,3000.0,5'10,165.0,Africa
7977,C. Chiricò,26,Italy,67,67,Lecce,825000.0,2000.0,5'7,159.0,Europe
7978,H. Sacko,24,Mali,67,71,UD Las Palmas,1000000.0,12000.0,6'0,181.0,Africa
7979,Chris Farminhão,34,Brazil,67,67,Grêmio,230000.0,9000.0,6'2,170.0,South America
7980,D. Keita-Ruel,28,Germany,67,67,SpVgg Greuther Fürth,800000.0,4000.0,6'1,174.0,Europe
7981,P. Zulu,25,South Africa,67,68,Kaizer Chiefs,900000.0,1000.0,5'10,154.0,Africa
7982,H. Bahebri,25,Saudi Arabia,67,68,Al Shabab,900000.0,10000.0,5'7,148.0,Asia
7983,C. Arias,30,Colombia,67,67,Alianza Petrolera,725000.0,1000.0,5'9,170.0,South America
7984,Jeong Woo Jae,26,"Korea, Republic of",67,68,Daegu FC,900000.0,2000.0,5'10,154.0,Asia
7985,W. Dammers,23,Netherlands,67,70,Fortuna Sittard,825000.0,3000.0,6'1,179.0,Europe
7986,K. Kotsaris,21,Greece,67,77,Panathinaikos FC,950000.0,1000.0,6'1,179.0,Europe
7987,M. Poletanović,24,Serbia,67,73,Jagiellonia Białystok,900000.0,3000.0,6'2,165.0,Europe
7988,J. Hopcutt,26,United Kingdom,67,70,Östersunds FK,975000.0,3000.0,5'11,163.0,Europe
7989,P. Małecki,29,Poland,67,67,Wisła Kraków,750000.0,3000.0,5'7,154.0,Europe
7990,B. Mitrev,31,Bulgaria,67,67,,0.0,0.0,6'0,163.0,Europe
7991,Qin Sheng,31,China,67,67,Dalian YiFang FC,525000.0,5000.0,6'0,168.0,Asia
7992,Marco Soares,34,Cape Verde,67,67,CD Feirense,230000.0,4000.0,6'0,176.0,Africa
7993,Romário,32,Brazil,67,67,Kalmar FF,575000.0,2000.0,5'8,159.0,South America
7994,Pedro Trigueira,30,Portugal,67,68,Moreirense FC,575000.0,2000.0,6'4,172.0,Europe
7995,A. Hrustić,21,Australia,67,75,FC Groningen,1100000.0,3000.0,5'10,154.0,Oceania
7996,U. Segura,25,Costa Rica,67,70,DC United,950000.0,3000.0,6'0,154.0,North America
7997,J. Billong,24,France,67,71,Benevento,850000.0,2000.0,6'4,194.0,Europe
7998,L. Arias,33,Colombia,67,67,Deportivo Pasto,475000.0,1000.0,5'6,154.0,South America
7999,K. Arkivuo,35,Finland,67,67,BK Häcken,160000.0,1000.0,5'9,159.0,Europe
8000,S. Palombi,22,Italy,67,76,Lecce,1200000.0,13000.0,6'0,165.0,Europe
8001,G. Maggiore,20,Italy,67,83,Spezia,1700000.0,1000.0,6'0,152.0,Europe
8002,M. Konrad,30,Germany,67,67,KFC Uerdingen 05,575000.0,3000.0,6'2,194.0,Europe
8003,Zheng Long,30,China,67,67,Guangzhou Evergrande Taobao FC,725000.0,7000.0,5'10,165.0,Asia
8004,A. Lazaar,26,Morocco,67,68,Newcastle United,725000.0,13000.0,6'0,176.0,Africa
8005,J. Donachie,25,Australia,67,69,Jeonnam Dragons,775000.0,3000.0,6'5,192.0,Oceania
8006,J. Bizama,24,Chile,67,74,CD Huachipato,900000.0,2000.0,5'10,165.0,South America
8007,A. Rossi,21,Italy,67,77,Lazio,1300000.0,12000.0,6'0,172.0,Europe
8008,Nolaskoain,19,Spain,67,78,Athletic Club de Bilbao,1100000.0,3000.0,6'1,176.0,Europe
8009,H. Singh,27,Norway,67,67,Sarpsborg 08 FF,775000.0,2000.0,5'11,159.0,Europe
8010,João Carlos,23,Brazil,67,71,Portimonense SC,1000000.0,3000.0,6'2,192.0,South America
8011,J. Nation,28,Norway,67,68,Vålerenga Fotball,700000.0,2000.0,6'2,190.0,Europe
8012,S. Kulovits,35,Austria,67,67,SV Sandhausen,180000.0,2000.0,5'10,154.0,Europe
8013,T. Grøgaard,24,Norway,67,74,SK Brann,900000.0,2000.0,5'11,157.0,Europe
8014,R. Williams,24,Australia,67,70,Rotherham United,975000.0,10000.0,5'8,148.0,Oceania
8015,F. Miguel,21,France,67,76,Nîmes Olympique,1000000.0,4000.0,5'10,154.0,Europe
8016,M. Bukata,24,Slovakia,67,70,Benevento,950000.0,2000.0,5'9,152.0,Europe
8017,K. Broll,22,Germany,67,74,SG Sonnenhof Großaspach,800000.0,1000.0,6'1,170.0,Europe
8018,M. Jiménez,28,Mexico,67,69,Guadalajara,650000.0,10000.0,6'0,174.0,North America
8019,K. Nagai,29,Japan,67,67,FC Tokyo,750000.0,5000.0,5'10,157.0,Asia
8020,C. Philipps,24,Luxembourg,67,73,Legia Warszawa,900000.0,3000.0,6'0,176.0,Europe
8021,M. Sadler,33,United Kingdom,67,67,Shrewsbury,300000.0,4000.0,6'0,163.0,Europe
8022,F. Centonze,22,France,67,75,Racing Club de Lens,950000.0,3000.0,6'0,165.0,Europe
8023,J. Ligali,27,France,67,71,Montpellier HSC,675000.0,6000.0,6'0,190.0,Europe
8024,A. Sánchez,31,Argentina,67,67,Atlético Tucumán,475000.0,3000.0,6'2,194.0,South America
8025,A. Nalini,28,Italy,67,67,Crotone,775000.0,2000.0,5'11,159.0,Europe
8026,Zheng Zheng,28,China,67,67,Shandong Luneng TaiShan FC,600000.0,6000.0,6'1,170.0,Asia
8027,Héctor Rodas,30,Spain,67,67,AD Alcorcón,575000.0,3000.0,6'3,187.0,Europe
8028,D. Høegh,27,Denmark,67,68,SC Heerenveen,725000.0,3000.0,6'3,174.0,Europe
8029,C. Martschinko,24,Austria,67,72,FK Austria Wien,850000.0,5000.0,5'9,172.0,Europe
8030,F. Micolta,28,Colombia,67,67,Puebla FC,800000.0,4000.0,5'10,168.0,South America
8031,J. Piotrowski,20,Poland,67,77,KRC Genk,1200000.0,4000.0,6'2,176.0,Europe
8032,M. Carretta,27,Italy,67,67,US Cremonese,800000.0,2000.0,5'10,165.0,Europe
8033,J. Skalák,26,Czech Republic,67,68,Millwall,900000.0,5000.0,5'10,168.0,Europe
8034,L. Lindsay,22,United Kingdom,67,77,Barnsley,1100000.0,4000.0,6'4,196.0,Europe
8035,V. Hoff,22,Norway,67,75,Odds BK,1100000.0,2000.0,5'11,163.0,Europe
8036,M. Zaccagni,23,Italy,67,75,Hellas Verona,1100000.0,2000.0,5'10,139.0,Europe
8037,R. Vera,35,Argentina,67,67,Patronato,180000.0,4000.0,6'0,190.0,South America
8038,J. Riedel,26,Germany,67,69,FC Hansa Rostock,775000.0,2000.0,6'0,168.0,Europe
8039,T. Yalçıner,31,Turkey,67,67,Alanyaspor,525000.0,5000.0,5'10,154.0,Asia
8040,B. De Alba,25,Colombia,67,72,La Equidad,1000000.0,1000.0,5'6,143.0,South America
8041,A. Nouri,28,Norway,67,67,Vålerenga Fotball,600000.0,2000.0,5'11,170.0,Europe
8042,C. Gartner,24,Austria,67,71,MSV Duisburg,975000.0,3000.0,5'11,168.0,Europe
8043,T. Geyer,27,Germany,67,67,VfR Aalen,650000.0,1000.0,5'10,157.0,Europe
8044,L. Domínguez,28,Chile,67,68,CD Everton de Viña del Mar,700000.0,2000.0,6'2,170.0,South America
8045,Naldo,28,Brazil,67,67,Al Fayha,625000.0,7000.0,6'1,165.0,South America
8046,L. Kelly,19,United Kingdom,67,83,Bristol City,1500000.0,5000.0,6'3,154.0,Europe
8047,S. Whalley,30,United Kingdom,67,67,Shrewsbury,725000.0,4000.0,5'9,148.0,Europe
8048,K. Anzai,23,Japan,67,74,Kashima Antlers,900000.0,4000.0,5'8,141.0,Asia
8049,C. Pontius,30,United States,67,67,LA Galaxy,725000.0,3000.0,6'0,170.0,North America
8050,E. Zavaleta,25,United States,67,69,Toronto FC,775000.0,3000.0,6'1,185.0,North America
8051,G. O'Neil,35,United Kingdom,67,67,Bolton Wanderers,180000.0,3000.0,5'8,134.0,Europe
8052,G. Loovens,34,Netherlands,67,67,Sunderland,230000.0,5000.0,6'3,163.0,Europe
8053,A. González,30,Uruguay,67,67,CD Palestino,550000.0,2000.0,6'0,174.0,South America
8054,Luís Cortez,24,Portugal,67,70,Vitória de Setúbal,975000.0,2000.0,5'9,146.0,Europe
8055,M. Hernández,35,Mexico,67,67,Tiburones Rojos de Veracruz,180000.0,2000.0,6'0,181.0,North America
8056,C. Donaldson,34,Jamaica,67,67,Bolton Wanderers,400000.0,5000.0,6'1,176.0,North America
8057,D. Mendiseca,22,Paraguay,67,67,,0.0,0.0,6'0,174.0,South America
8058,S. Cronin,31,United States,67,67,Minnesota United FC,525000.0,3000.0,5'10,165.0,North America
8059,J. Taylor,25,United Kingdom,67,68,Rotherham United,900000.0,11000.0,5'6,170.0,Europe
8060,R. Hall,24,United Kingdom,67,70,Oxford United,975000.0,4000.0,5'8,146.0,Europe
8061,S. Gbohouo,29,Ivory Coast,67,68,,0.0,0.0,6'3,181.0,Africa
8062,N. Yeri,26,Argentina,67,68,Club Atlético Aldosivi,875000.0,4000.0,5'9,179.0,South America
8063,M. Pinato,23,Italy,67,75,Venezia FC,1100000.0,13000.0,5'9,146.0,Europe
8064,M. Johnson,27,United Kingdom,67,67,Sheffield United,800000.0,17000.0,5'10,163.0,Europe
8065,D. Wouters,21,Belgium,67,76,KRC Genk,1000000.0,4000.0,6'3,179.0,Europe
8066,J. Campuzano,22,Colombia,67,80,Atlético Nacional,1300000.0,2000.0,5'10,154.0,South America
8067,Z. Valentin,26,United States,67,68,Portland Timbers,725000.0,3000.0,6'0,161.0,North America
8068,L. Néry,27,France,67,68,AS Nancy Lorraine,700000.0,3000.0,5'9,161.0,Europe
8069,J. Iglesias,29,Uruguay,67,67,Clermont Foot 63,600000.0,3000.0,5'7,152.0,South America
8070,M. El Hamdaoui,33,Morocco,67,67,Excelsior,475000.0,3000.0,6'0,185.0,Africa
8071,Welson Leima,34,Brazil,67,67,Botafogo,230000.0,7000.0,5'10,172.0,South America
8072,M. Little,29,United Kingdom,67,67,Bolton Wanderers,575000.0,4000.0,6'1,172.0,Europe
8073,B. Lennon,20,United States,67,78,Real Salt Lake,1100000.0,2000.0,5'10,154.0,North America
8074,N. Mitrović,25,Slovenia,67,72,Jagiellonia Białystok,850000.0,3000.0,6'4,194.0,Europe
8075,Serginho,35,Portugal,67,67,Santa Clara,180000.0,1000.0,6'3,183.0,Europe
8076,R. Buess,25,Switzerland,67,70,FC St. Gallen,975000.0,6000.0,6'0,172.0,Europe
8077,A. Al Sahabi,31,Saudi Arabia,67,67,Al Faisaly,525000.0,8000.0,5'11,148.0,Asia
8078,Y. El Jebli,25,Netherlands,67,69,De Graafschap,925000.0,3000.0,5'10,163.0,Europe
8079,C. Durkin,18,United States,67,84,DC United,1400000.0,1000.0,6'0,165.0,North America
8080,P. Bengtsson,30,Sweden,67,67,FC København,550000.0,7000.0,5'9,163.0,Europe
8081,F. Kamberi,23,Switzerland,67,76,Hibernian,1200000.0,3000.0,6'2,190.0,Europe
8082,D. Irandust,20,Sweden,67,77,BK Häcken,1200000.0,2000.0,6'1,161.0,Europe
8083,L. Nomenjanahary,32,Madagascar,67,67,Paris FC,600000.0,3000.0,5'10,168.0,Africa
8084,D. Steres,27,United States,67,68,LA Galaxy,725000.0,3000.0,6'0,170.0,North America
8085,G. Donyoh,23,Ghana,67,73,FC Nordsjælland,1100000.0,5000.0,5'10,157.0,Africa
8086,Castro,23,Spain,67,73,RCD Mallorca,1100000.0,3000.0,5'9,150.0,Europe
8087,F. Troyansky,21,Argentina,67,80,Unión de Santa Fe,1500000.0,4000.0,5'10,170.0,South America
8088,D. Koppers,26,Netherlands,67,68,PEC Zwolle,725000.0,4000.0,5'10,159.0,Europe
8089,M. Moscati,25,Italy,67,70,Perugia,950000.0,2000.0,5'11,165.0,Europe
8090,J. Roa,23,Colombia,67,75,Jaguares de Córdoba,975000.0,1000.0,5'10,143.0,South America
8091,Lu Wenjun,29,China,67,67,Shanghai SIPG FC,750000.0,7000.0,6'1,157.0,Asia
8092,F. Crivelli,36,Argentina,67,67,Club Atlético Tigre,100000.0,3000.0,6'1,183.0,South America
8093,J. Amoroso,30,Argentina,67,67,Newell's Old Boys,725000.0,6000.0,6'1,154.0,South America
8094,A. Barillà,30,Italy,67,67,Parma,700000.0,13000.0,5'11,172.0,Europe
8095,K. Agard,28,United Kingdom,67,67,Milton Keynes Dons,800000.0,7000.0,5'9,148.0,Europe
8096,Y. Boli,30,Ivory Coast,67,67,Colorado Rapids,725000.0,3000.0,5'11,172.0,Africa
8097,Borja Viguera,31,Spain,67,67,CD Numancia,675000.0,4000.0,6'0,168.0,Europe
8098,A. Masika,25,Kenya,67,68,Beijing Renhe FC,900000.0,5000.0,5'7,132.0,Africa
8099,S. Kroon,25,Sweden,67,70,Östersunds FK,950000.0,2000.0,6'0,161.0,Europe
8100,A. Al Hafith,25,Saudi Arabia,67,72,Al Hilal,850000.0,11000.0,6'1,170.0,Asia
8101,J. Gradit,25,France,67,70,Stade Malherbe Caen,800000.0,7000.0,5'11,170.0,Europe
8102,L. Boeder,21,Germany,67,74,SC Paderborn 07,900000.0,3000.0,6'0,179.0,Europe
8103,T. Pochettino,22,Argentina,67,75,Club Atlético Talleres,1100000.0,7000.0,5'10,157.0,South America
8104,A. Robic,32,France,67,67,AS Nancy Lorraine,600000.0,3000.0,5'11,168.0,Europe
8105,E. Nazaryna,20,Ukraine,67,76,Royal Antwerp FC,1200000.0,3000.0,6'0,165.0,Europe
8106,J. Cascante,24,Costa Rica,67,72,Portland Timbers,875000.0,2000.0,6'2,170.0,North America
8107,A. Ibrahim,27,Norway,67,68,Vålerenga Fotball,850000.0,2000.0,6'1,157.0,Europe
8108,F. Ulvestad,26,Norway,67,70,Djurgårdens IF,925000.0,3000.0,6'0,185.0,Europe
8109,C. Çavlan,26,Netherlands,67,69,FC Emmen,750000.0,3000.0,5'9,154.0,Europe
8110,F. Ben Youssef,27,Tunisia,67,67,Ettifaq FC,825000.0,11000.0,6'3,190.0,Africa
8111,M. Pučko,24,Slovenia,67,71,Korona Kielce,1000000.0,2000.0,5'9,150.0,Europe
8112,C. Gönen,30,Turkey,67,67,Málaga CF,500000.0,3000.0,6'3,185.0,Asia
8113,S. Moore,28,United Kingdom,67,67,Sheffield United,525000.0,4000.0,6'3,183.0,Europe
8114,L. Taylor,28,Montserrat,67,67,Charlton Athletic,800000.0,5000.0,6'2,174.0,North America
8115,M. de Leeuw,31,Netherlands,67,67,Chicago Fire,675000.0,3000.0,5'10,148.0,Europe
8116,A. Ngamukol,30,"Congo, The Democratic Republic of the",67,67,Stade de Reims,725000.0,7000.0,5'10,154.0,Africa
8117,F. Brandán,28,Argentina,67,67,San Martín de San Juan,775000.0,6000.0,5'6,139.0,South America
8118,Zubiaurre,21,Spain,67,75,Real Sociedad,850000.0,4000.0,6'2,181.0,Europe
8119,S. Quinn,32,Ireland,67,67,Burton Albion,575000.0,4000.0,5'6,132.0,Europe
8120,S. Bertram,27,Germany,67,67,FC Erzgebirge Aue,825000.0,3000.0,6'1,181.0,Europe
8121,Z. Korcsmár,29,Hungary,67,67,FC Midtjylland,600000.0,7000.0,6'2,183.0,Europe
8122,Camacho,37,Spain,67,67,SD Huesca,260000.0,6000.0,5'11,165.0,Europe
8123,D. Sorgić,28,Serbia,67,67,FC Thun,800000.0,6000.0,5'10,154.0,Europe
8124,P. Mortensen,28,Denmark,67,67,Sarpsborg 08 FF,800000.0,2000.0,6'2,179.0,Europe
8125,Tekio,27,Spain,67,67,Elche CF,625000.0,3000.0,5'9,159.0,Europe
8126,P. Ofosu-Ayeh,26,Ghana,67,68,FC Hansa Rostock,725000.0,18000.0,5'11,179.0,Africa
8127,M. Bíttolo,28,Argentina,67,67,Newell's Old Boys,600000.0,6000.0,5'9,146.0,South America
8128,B. Djiby Fall,33,Senegal,67,67,Hobro IK,475000.0,4000.0,6'2,181.0,Africa
8129,D. Cardoso,29,South Africa,67,67,Kaizer Chiefs,600000.0,1000.0,6'0,172.0,Africa
8130,J. Demetriou,30,Cyprus,67,67,Southend United,550000.0,4000.0,5'11,150.0,Asia
8131,Ilhamjan Iminjan,32,China,67,67,Guizhou Hengfeng FC,600000.0,5000.0,5'9,154.0,Asia
8132,M. Ritzmaier,25,Austria,67,70,Wolfsberger AC,950000.0,5000.0,5'11,163.0,Europe
8133,C. Dell'Orco,24,Italy,67,73,Sassuolo,875000.0,12000.0,6'0,165.0,Europe
8134,H. Shala,26,Norway,67,70,IK Start,950000.0,2000.0,5'10,157.0,Europe
8135,R. Williams,26,South Africa,67,72,,0.0,0.0,6'0,157.0,Africa
8136,S. Molina,26,Italy,67,68,Crotone,900000.0,2000.0,5'10,165.0,Europe
8137,J. Ángulo,22,Colombia,67,77,Deportivo Cali,1100000.0,1000.0,6'0,163.0,South America
8138,F. Guichón,27,Uruguay,67,67,Independiente Santa Fe,800000.0,2000.0,6'0,165.0,South America
8139,G. Tormin,20,France,67,78,KSV Cercle Brugge,1300000.0,14000.0,5'9,161.0,Europe
8140,R. Noya,28,Argentina,67,67,Tiburones Rojos de Veracruz,625000.0,3000.0,6'4,194.0,South America
8141,L. Clemenza,20,Italy,67,76,Padova,1200000.0,19000.0,5'9,170.0,Europe
8142,Paik Seung Ho,21,"Korea, Republic of",67,77,Girona FC,1200000.0,7000.0,5'11,150.0,Asia
8143,L. Wolsztyński,23,Poland,67,73,Górnik Zabrze,1100000.0,2000.0,6'0,161.0,Europe
8144,P. Göbel,24,Germany,67,69,FC Würzburger Kickers,950000.0,3000.0,5'7,150.0,Europe
8145,A. Gouiri,18,France,67,86,Olympique Lyonnais,1600000.0,10000.0,6'0,176.0,Europe
8146,S. Bruzzese,29,Belgium,67,68,KV Kortrijk,600000.0,4000.0,6'1,176.0,Europe
8147,M. Njie,22,Norway,67,75,Stabæk Fotball,1100000.0,2000.0,6'1,165.0,Europe
8148,S. Raggett,24,United Kingdom,67,73,Rotherham United,900000.0,8000.0,6'5,196.0,Europe
8149,P. Klewin,24,Germany,67,73,DSC Arminia Bielefeld,750000.0,3000.0,6'4,190.0,Europe
8150,G. Ţucudean,27,Romania,67,68,,0.0,0.0,6'2,176.0,Europe
8151,J. Ward,32,United Kingdom,67,67,Charlton Athletic,600000.0,17000.0,5'5,130.0,Europe
8152,S. Jovanović,26,Serbia,67,68,Córdoba CF,900000.0,4000.0,5'9,165.0,Europe
8153,N. Schouterden,29,Belgium,67,67,KAS Eupen,750000.0,5000.0,5'9,143.0,Europe
8154,S. Wannenwetsch,26,Germany,67,69,FC Hansa Rostock,775000.0,2000.0,5'10,161.0,Europe
8155,R. Oxford,19,United Kingdom,67,80,West Ham United,1300000.0,9000.0,6'3,172.0,Europe
8156,R. Gelmi,23,Switzerland,67,77,FC Thun,1100000.0,4000.0,6'2,172.0,Europe
8157,Elgezabal,25,Spain,67,71,AD Alcorcón,825000.0,7000.0,6'1,163.0,Europe
8158,C. Schorch,29,Germany,67,67,KFC Uerdingen 05,600000.0,3000.0,6'2,176.0,Europe
8159,F. Migliore,30,Italy,67,67,US Cremonese,550000.0,2000.0,5'8,165.0,Europe
8160,M. Gilks,36,United Kingdom,67,67,Scunthorpe United,100000.0,2000.0,6'1,179.0,Europe
8161,Renan Tojeiras,34,Brazil,67,67,Sport Club do Recife,230000.0,5000.0,5'10,172.0,South America
8162,G. Miura,23,Japan,67,76,Gamba Osaka,1000000.0,4000.0,6'0,170.0,Asia
8163,Juande,31,Spain,67,67,Perth Glory,525000.0,2000.0,6'0,165.0,Europe
8164,H. Rojas,30,Colombia,67,67,Millonarios FC,700000.0,2000.0,5'10,163.0,South America
8165,Nuno Cedrim,26,Brazil,67,67,Vitória,825000.0,5000.0,5'11,172.0,South America
8166,F. Orlando,21,Italy,67,79,US Salernitana 1919,1400000.0,2000.0,5'6,143.0,Europe
8167,I. Henderson,33,United Kingdom,67,67,Rochdale,475000.0,3000.0,5'10,148.0,Europe
8168,L. Bostyn,24,Belgium,67,71,SV Zulte-Waregem,700000.0,3000.0,6'5,185.0,Europe
